,BTC,ETH, LTC,XRP,DOGE,USDT,BNB,ADA
0,7196.4,129.21,41.288,0.19293,0.002015,0.9963,13.71,0.032827
1,7199.7,130.75,41.627,0.19306,0.00204,0.997,13.71,0.033468
2,6967.1,127.19,39.558,0.18749,0.001999,0.997,13.01,0.032685
3,7345.1,134.30,42.183,0.19321,0.002042,0.9984,13.64,0.034115
4,7376.8,134.32,42.855,0.19313,0.002307,0.9979,13.8,0.034366
5,7372.6,135.59,43.456,0.19455,0.00208,0.9991,14.05,0.034611
6,7759.1,144.09,45.778,0.22307,0.002153,1.0004,14.97,0.037313
7,8154.2,143.01,46.397,0.21351,0.002182,1.0005,15.01,0.037039
8,8060.0,140.80,45.375,0.20756,0.002138,0.9993,14.53,0.036315
9,7842.5,137.93,44.779,0.20372,0.002138,0.9986,14.38,0.036155
10,8187.8,144.81,49.05,0.21258,0.002207,0.9996,15.04,0.03692
11,8023.3,142.65,49.436,0.21127,0.002179,0.9994,14.92,0.03673
12,8188.3,146.50,51.386,0.2153,0.002205,0.9994,15.34,0.037861
13,8111.2,143.59,49.594,0.21141,0.002161,0.9998,15.17,0.036834
14,8827.9,166.07,58.535,0.23497,0.002356,0.9998,16.53,0.041678
15,8818.1,166.44,58.184,0.23378,0.148228,0.999,17.63,0.042761
16,8726.7,164.39,57.63,0.22919,0.002323,0.9991,17.04,0.04163
17,8913.0,170.18,61.064,0.23916,0.002478,0.9983,18.04,0.044969
18,8916.3,174.17,59.285,0.24349,0.002503,0.9994,17.77,0.044889
19,8705.7,166.92,57.67,0.23574,0.002423,0.9991,17.39,0.041998
20,8642.0,166.87,57.2,0.23308,0.002467,0.998,17.31,0.043825
21,8733.0,169.41,57.597,0.23721,0.002389,0.9982,18.11,0.046057
22,8678.5,168.15,58.311,0.23721,0.002376,0.9972,17.83,0.045749
23,8404.9,162.80,54.485,0.22595,0.002287,0.9971,17.08,0.043197
24,8439.9,162.56,54.39,0.22217,0.002282,0.9982,17.11,0.044951
25,8341.6,160.40,53.269,0.2196,0.002248,0.9978,16.91,0.04314
26,8608.1,167.91,56.255,0.23114,0.002296,0.9979,17.48,0.04466
27,8866.6,170.27,58.574,0.23086,0.002355,0.9976,17.68,0.047864
28,9377.3,175.78,60.554,0.23921,0.002415,1.0004,18.06,0.052944
29,9299.1,173.86,59.816,0.23546,0.002417,0.9979,17.89,0.053376
30,9508.3,184.60,67.967,0.24334,0.002431,0.9985,18.56,0.056134
31,9349.3,179.88,68.041,0.23939,0.002381,0.9983,18.28,0.053852
32,9381.5,183.58,70.751,0.24132,0.002432,0.999,18.25,0.056069
33,9334.6,188.48,69.959,0.251,0.002439,0.9987,18.42,0.055743
34,9296.5,189.80,69.705,0.25465,0.002416,0.9986,18.46,0.05698
35,9194.1,188.94,68.067,0.26722,0.002512,0.9969,18.18,0.055966
36,9611.8,203.84,72.566,0.2778,0.002598,0.9993,19.23,0.059316
37,9771.9,213.15,73.594,0.28358,0.00266,0.9981,20.66,0.060089
38,9817.3,223.47,74.338,0.27949,0.002786,0.9984,22.03,0.059883
39,9895.4,223.23,76.613,0.27763,0.003171,1.0003,21.78,0.060049
40,10151.5,228.61,77.023,0.2826,0.003228,1.0006,24.39,0.06186
41,9854.0,222.94,74.095,0.27348,0.002983,0.9998,25.11,0.060279
