,meanValue,medianValue,stdValue,sumValue,totaltx,inputDegree,outputDegree,price
2020-01-01,174101671.14708936,1650985.0,43429139562628.0,2231915306.765841,28600968.8576,393666,562789,7175.68
2020-01-02,235794801.5145565,3051717.0,70212853841791.0,3588339896.7688737,68282971.9003,507301,691488,6944.33
2020-01-03,319861209.8717292,2877000.0,101007372159344.0,19698637687.24573,136870284.592,530257,715906,7326.35
2020-01-04,230218155.54145247,2142651.0,66414945037687.0,4072300818.3359313,50181826.9238,465042,652549,7347.89
2020-01-05,194018691.95559663,2000000.0,55614487955612.0,3419892630.4875326,48177558.2909,465850,651640,7351.57
2020-01-06,366003104.1557727,3850130.5,109838995569564.0,6873166110.443731,114010548.1248,526351,689192,7759.24
2020-01-07,230074333.39424133,3369499.0,79226096704307.0,3331083380.1094937,210649283.9079,593046,788218,8165.47
2020-01-08,281948241.66540694,4163777.0,89228441988093.0,4394577078.690602,224003807.3735,548536,707302,8042.65
2020-01-09,374831836.48510575,3522508.0,121099920067935.0,27333964505.992397,108323770.4736,562219,710009,7817.92
2020-01-10,273329292.03257626,3802068.0,90532948094906.0,3995377145.18131,153599795.4414,564354,743633,8184.66
2020-01-11,190933130.4364232,2183892.0,58945066961463.0,1849444216.133921,75103205.4975,495222,684947,8021.49
2020-01-12,176386318.20284098,2082039.0,49830369596530.0,3457309214.018554,39375157.8458,448052,623366,8173.97
2020-01-13,235445619.05858383,3233876.0,68880793083684.0,4006825059.818338,68769719.304,497050,654013,8105.24
2020-01-14,361372481.3265426,4069903.0,125092698135996.0,24622257312.21523,322001233.9342,624896,766661,8842.42
2020-01-15,479481014.6279269,3320923.5,159642244858339.0,37697771657.85707,162415225.6691,574445,742812,8813.89
2020-01-16,272850330.8428573,2648737.0,88988225452082.0,21945295397.841568,113463579.9655,549378,724245,8722.03
2020-01-17,343355193.4105814,3177618.0,111235065233259.0,29854014368.03513,172392198.5178,551970,720805,8900.34
2020-01-18,175417096.0608919,2118016.0,50376457063863.0,2110441464.2959285,73102474.796,470168,635724,8910.85
2020-01-19,222337076.81883836,2163500.5,63175746355612.0,22522553845.573204,171406582.848,469205,626906,8703.36
2020-01-20,311319006.90498203,2702043.0,97775026541627.0,29685391768.80653,78615695.3157,528543,694873,8626.47
2020-01-21,212196783.131312,2906408.0,66744588362906.0,2991660388.2409763,80118406.4526,539451,694339,8722.26
2020-01-22,272111351.0256548,2409305.5,89095786998224.0,20942551751.53721,62159413.0416,570977,716898,8658.94
2020-01-23,263265909.1295698,2448608.0,87286075437818.0,17972444509.30703,140040083.6177,566204,724473,8388.11
2020-01-24,217752221.50852263,2571478.0,68371584527018.0,2921041284.3244324,103625698.6572,535983,691251,8428.17
2020-01-25,171252124.32650763,1812510.0,48949165948370.0,2282407141.311991,49103693.8912,458559,626942,8327.36
2020-01-26,220499098.64729583,1838881.0,57347846574386.0,5268082407.835905,90541442.5134,417608,568363,8588.42
2020-01-27,548230883.7651124,3841207.0,153678436644385.0,12425016157.32841,157722446.2734,479264,621175,8895.78
2020-01-28,302681062.3502554,3334497.5,102866764401859.0,5559109076.631,187574422.5035,604515,739693,9385.69
2020-01-29,259806516.29110023,2723614.0,88371627677320.0,5394604944.390983,132156743.7492,572103,742305,9279.81
2020-01-30,438903099.9388638,2620889.5,145822043729888.0,17584669824.986767,175049334.3105,565105,728693,9502.37
2020-01-31,359678769.5369397,3038632.5,120533391174602.0,26916516910.551624,106765634.8728,562585,741107,9333.77
2020-02-01,266872586.8663631,2287979.5,80708675210473.0,18325195523.797222,36660829.428,491462,665631,9378.09
2020-02-02,238480324.4496882,2257607.5,69673934630572.0,4004690257.575485,66403963.968,483049,641880,9314.56
2020-02-03,481630768.5817195,3094123.5,159271442123826.0,45127251422.80418,108746958.8123,559393,727663,9284.51
2020-02-04,290904433.1540943,3470630.0,90096884705454.0,17427068653.549892,90649388.5674,539599,685032,9162.14
2020-02-05,230482725.10321215,2755766.0,84797360358173.0,4160644974.379437,163509451.016,624634,801827,9614.9
2020-02-06,500369145.9373087,3340285.5,158232735758047.0,23475093551.43145,152115909.0028,542220,701381,9755.66
2020-02-07,494143107.8504602,3567107.5,165340283886764.0,29120463991.65387,87939405.4854,576307,740729,9807.54
