,meanValue,medianValue,sumValue,stdValue,date,price,year,day,totaltx
0,3.109576863766229e+18,1347136500005500.0,6.179102377527149e+23,7.800661997110878e+19,2020-01-01,129.21,2020,1,325347.0
1,5.072829333281944e+18,1576415000000000.0,1.1183052265220044e+24,1.7125358399163292e+20,2020-01-02,130.75,2020,2,361247.0
2,6.88598791876098e+18,3321197000000000.0,1.85235140811046e+24,1.6327372405779952e+20,2020-01-03,127.19,2020,3,426976.0
3,4.459051293705468e+18,2000000000000000.0,1.1325143066266085e+24,1.5442698282882495e+20,2020-01-04,134.30,2020,4,396568.0
4,3.77613735594806e+18,2000000000000000.0,9.006654014539516e+23,9.799815963163127e+19,2020-01-05,134.32,2020,5,377354.0
5,5.934977118093243e+18,1500000000000000.0,1.6700669511687303e+24,2.8439556759582386e+20,2020-01-06,135.59,2020,6,452402.0
6,4.956848177815039e+18,2450000000000000.0,1.4042800456231783e+24,1.3183910053101162e+20,2020-01-07,144.09,2020,7,455501.0
7,6.541278886904601e+18,1757710000000000.0,1.9410198492267497e+24,2.5442277431574535e+20,2020-01-08,143.01,2020,8,477359.0
8,4.649793797879214e+18,2000000000000000.0,1.3407587420308756e+24,1.6057981084100457e+20,2020-01-09,140.80,2020,9,456543.0
9,4.843314053990693e+18,2500000000000000.0,1.3237261640961964e+24,1.1719481648357913e+20,2020-01-10,137.93,2020,10,444820.0
10,5.411292390271124e+18,3000000000000000.0,1.354478953039204e+24,1.485837619214644e+20,2020-01-11,144.81,2020,11,407606.0
11,4.329242056834712e+18,3697500000000000.0,1.0059859767466821e+24,1.3044874419221306e+20,2020-01-12,142.65,2020,12,377223.0
12,5.388352239643714e+18,1729492200000000.0,1.4353169394828545e+24,1.3023815264214324e+20,2020-01-13,146.50,2020,13,412718.0
13,8.316436707276351e+18,3258507475000000.0,2.5978219671253286e+24,2.159264447046393e+20,2020-01-14,143.59,2020,14,500717.0
14,6.60633906519753e+18,1300950000000000.0,2.0981534680895399e+24,2.106255191041794e+20,2020-01-15,166.07,2020,15,512545.0
15,5.176878772938037e+18,1000000000000000.0,1.6904994095453703e+24,3.15393993191123e+20,2020-01-16,166.44,2020,16,519248.0
16,5.317489216633136e+18,1620000000000000.0,1.5870152916825926e+24,1.3807048339523943e+20,2020-01-17,164.39,2020,17,488671.0
17,6.075727675439935e+18,1500000000000000.0,1.7308776030900305e+24,3.647812212204882e+20,2020-01-18,170.18,2020,18,463087.0
18,4.2846421851476557e+18,2096800000000000.0,1.1856419008318741e+24,1.1318819365807948e+20,2020-01-19,174.17,2020,19,446114.0
19,3.878482219261149e+18,2400152050000000.0,1.0643679969496178e+24,9.770411146797213e+19,2020-01-20,166.92,2020,20,438393.0
20,3.660797253119581e+18,2700000000000000.0,9.874451470702102e+23,9.183518595237157e+19,2020-01-21,166.87,2020,21,430803.0
21,3.694080954106088e+18,3000000000000000.0,9.233724752883577e+23,1.1538410698594199e+20,2020-01-22,169.41,2020,22,401535.0
22,4.1299382924962744e+18,2148590900000000.0,1.1231697581507017e+24,1.2897523143752407e+20,2020-01-23,168.15,2020,23,419692.0
23,6.655287741183189e+18,5758345000000000.0,1.5013197745193272e+24,3.209808030388215e+20,2020-01-24,162.80,2020,24,356483.0
24,2.1156019228334781e+18,4250000000000000.0,4.5280862634981785e+23,5.308480404549351e+19,2020-01-25,162.56,2020,25,301197.0
25,3.139559503342844e+18,9860767750000000.0,6.155451757849013e+23,8.319372165759233e+19,2020-01-26,160.40,2020,26,305177.0
26,4.564682638117191e+18,1.0042e+16,1.0821493130184425e+24,1.210230866748272e+20,2020-01-27,167.91,2020,27,364470.0
27,4.884254800833537e+18,6387453436088022.0,1.1931062257284131e+24,1.1075368219505769e+20,2020-01-28,170.27,2020,28,393557.0
28,4.896834384762e+18,5750000000000000.0,1.2673448102858685e+24,1.2056871182200642e+20,2020-01-29,175.78,2020,29,406504.0
29,5.281598104979834e+18,5000000000000000.0,1.3599217248645225e+24,1.3812961049934017e+20,2020-01-30,173.86,2020,30,420142.0
30,7.049343937851734e+18,2779255236269106.0,1.918450755310598e+24,5.62864282769412e+20,2020-01-31,184.60,2020,31,432369.0
31,4.3808260305699753e+18,4200000000000000.0,1.0961965743254027e+24,2.221141399190925e+20,2020-02-01,179.88,2020,32,405628.0
32,4.4566515806947195e+18,5000000000000000.0,1.1048574066731892e+24,1.1687514441096754e+20,2020-02-02,183.58,2020,33,401595.0
33,4.387273919908441e+18,2974006926567500.0,1.3218242102335346e+24,1.2494724640956387e+20,2020-02-03,188.48,2020,34,461762.0
34,5.94406927248923e+18,4979000000000000.0,1.572176602227039e+24,2.7482856826929408e+20,2020-02-04,189.80,2020,35,409058.0
35,5.276380091298542e+18,4200000000000000.0,1.5805291035882955e+24,1.379642245755035e+20,2020-02-05,188.94,2020,36,462980.0
36,7.626159856904289e+18,4200000000000000.0,2.3175747281934997e+24,3.634105128113451e+20,2020-02-06,203.84,2020,37,469191.0
37,7.696581335971627e+18,3000000000000000.0,2.4107770821223848e+24,4.6813300901537645e+20,2020-02-07,213.15,2020,38,478080.0
38,3.91651699808361e+18,1500000000000000.0,1.2941425447107635e+24,1.1416082761746262e+20,2020-02-08,223.47,2020,39,507486.0
39,4.0019642803459533e+18,1475922200000000.0,1.313944922344585e+24,1.7254157388162538e+20,2020-02-09,223.23,2020,40,494705.0
40,5.644652973224542e+18,2000000000000000.0,1.8262653783040951e+24,1.7428406119579786e+20,2020-02-10,228.61,2020,41,504915.0
41,4.2182077150985283e+18,1668467825000000.0,1.4391638900296008e+24,1.2417509517977045e+20,2020-02-11,222.94,2020,42,544907.0
42,6.815437030361554e+18,1900825000000000.0,2.76874403183626e+24,1.9477490607262758e+20,2020-02-12,236.75,2020,43,633047.0
43,6.116729468105391e+18,2914984856542275.0,2.3074505576302054e+24,1.7481051918553743e+20,2020-02-13,265.59,2020,44,604060.0
44,5.464977969901924e+18,4352088000000000.0,1.9112448855019204e+24,1.6111331155317162e+20,2020-02-14,268.71,2020,45,547769.0
45,5.680061632303207e+18,4895000000000000.0,1.8885693721861257e+24,2.55431328474598e+20,2020-02-15,285.17,2020,46,521209.0
46,5.334255212262143e+18,4352661000000000.0,1.6828241630883996e+24,1.4740428384294003e+20,2020-02-16,264.87,2020,47,493636.0
47,8.062625775050556e+18,4215552000000000.0,2.672526628281783e+24,2.7788855084399428e+20,2020-02-17,259.92,2020,48,517976.0
48,6.443437487155621e+18,3169835330837637.0,2.2618463045537248e+24,1.8601126909970268e+20,2020-02-18,267.71,2020,49,541559.0
49,5.424322557372279e+18,2433990000000000.0,1.777393196696732e+24,1.5825666767248877e+20,2020-02-19,282.33,2020,50,524389.0
50,7.00152425605087e+18,2060478000000000.0,2.2702372385002388e+24,1.9844502440753434e+20,2020-02-20,259.07,2020,51,515654.0
51,5.224535099367663e+18,1442166000000000.0,1.7094208636972048e+24,2.5684297757652133e+20,2020-02-21,257.32,2020,52,523528.0
52,2.948601154324702e+18,4124415000000000.0,9.256455145736908e+23,1.8121880407173385e+20,2020-02-22,265.14,2020,53,482121.0
53,3.832333362684193e+18,4148025000000000.0,1.2449909778684002e+24,2.0239272062963974e+20,2020-02-23,261.65,2020,54,488795.0
54,4.973738407027218e+18,3758516000000000.0,1.7078076881289007e+24,1.7082284127438684e+20,2020-02-24,274.72,2020,55,528507.0
55,5.910582401847463e+18,2624000000000000.0,1.87216515462038e+24,1.817937494570532e+20,2020-02-25,265.63,2020,56,507696.0
56,8.616215672253715e+18,2552894000000000.0,2.8514504145756447e+24,2.395259579797905e+20,2020-02-26,246.97,2020,57,533155.0
57,7.972648792288317e+18,5000000000000000.0,2.6866630532692785e+24,2.2945767460807085e+20,2020-02-27,224.30,2020,58,543951.0
58,5.564765123902848e+18,1470395000000000.0,1.8065898679448118e+24,1.53210671390483e+20,2020-02-28,227.60,2020,59,527149.0
59,3.968879195049488e+18,5482245000000000.0,1.1520584705845999e+24,3.53815566962273e+20,2020-02-29,226.94,2020,60,471967.0
60,5.745262083107811e+18,2000000000000000.0,1.658588220248228e+24,2.452878512804718e+20,2020-03-01,217.51,2020,61,452032.0
61,7.624171968098326e+18,1650000000000000.0,2.5262083882536353e+24,3.4980483168276434e+20,2020-03-02,217.96,2020,62,523100.0
62,5.850658987883169e+18,2806742500000000.0,1.7621248766066045e+24,1.7798215577418344e+20,2020-03-03,231.90,2020,63,486656.0
63,4.772620057162004e+18,2187186482659019.5,1.4901551604476925e+24,1.385351101838956e+20,2020-03-04,223.94,2020,64,495334.0
64,5.099393573390383e+18,2000000000000000.0,1.7382098897872862e+24,1.504739310008171e+20,2020-03-05,224.36,2020,65,530518.0
65,5.890901982655106e+18,2674020000000000.0,1.8739725024083637e+24,2.049025255362873e+20,2020-03-06,228.46,2020,66,507038.0
66,4.02687345678101e+18,4447898000000000.0,1.1878108904201512e+24,1.203420907791858e+20,2020-03-07,244.87,2020,67,471957.0
67,6.433934116859207e+18,4025349999999999.5,1.8745588746175141e+24,1.7812646283007548e+20,2020-03-08,237.30,2020,68,490029.0
68,1.1250194881371732e+19,3500000000000000.0,3.85279799004897e+24,3.13341463462577e+20,2020-03-09,199.21,2020,69,576256.0
