,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2020-01-01,3,11,20,35,49,74,102,130,161,187,223,252,293,338,380,446,499,554,608,677,746,826,882,956,1021,1097,1149,1224,1306,1373,1463,1553,1636,1722,1798,1876,1977,2080,2176,2262,2348,2443,2553,2664,2758,2849,2941,3046,3143,3231,3354,3463,3553,3662,3759,3866,3960,4078,4195,4315,4423,4545,4640,4746,4851,4949,5064,5173,5284,5387,5519,5624,5726,5808,5915,6038,6142,6249,6360,6480,6573,6671,6766,6869,6970,7083,7181,7269,7363,7460,7548,7662,7752,7863,7947,8053,8146,8251,8317,8317
2020-01-02,4,14,18,33,61,88,105,139,171,214,262,300,353,403,455,513,578,642,713,815,896,978,1066,1152,1235,1343,1438,1558,1641,1744,1850,1953,2053,2166,2277,2370,2479,2606,2731,2840,2942,3064,3211,3340,3487,3605,3747,3876,3985,4130,4265,4390,4502,4630,4761,4875,4988,5100,5244,5366,5487,5616,5731,5850,5962,6071,6197,6313,6404,6505,6624,6758,6874,6975,7069,7198,7322,7466,7584,7697,7816,7930,8052,8163,8258,8354,8469,8582,8689,8782,8884,9007,9097,9190,9287,9384,9485,9614,9708,9708
2020-01-03,2,14,25,35,55,72,94,121,138,161,206,236,277,319,375,427,465,523,583,646,718,789,846,922,1001,1103,1193,1264,1342,1432,1517,1606,1691,1795,1907,2025,2134,2266,2372,2477,2587,2708,2812,2919,3045,3156,3293,3426,3584,3710,3832,3965,4094,4231,4368,4488,4634,4781,4920,5031,5145,5271,5394,5513,5645,5761,5887,6020,6137,6242,6363,6485,6613,6734,6836,6975,7081,7191,7333,7471,7611,7718,7820,7923,8039,8148,8267,8386,8513,8615,8723,8845,8959,9057,9152,9249,9340,9443,9546,9546
2020-01-04,4,10,18,37,48,72,86,114,141,171,216,270,329,370,425,473,529,607,673,759,843,923,998,1090,1193,1298,1391,1499,1616,1731,1836,1946,2058,2176,2283,2421,2557,2680,2806,2943,3081,3203,3324,3459,3596,3737,3852,4001,4152,4297,4449,4577,4709,4830,4985,5142,5272,5425,5553,5665,5797,5933,6073,6216,6347,6467,6606,6727,6856,6961,7090,7208,7326,7458,7594,7723,7842,7960,8080,8204,8331,8430,8531,8642,8758,8883,8990,9107,9200,9312,9425,9529,9630,9733,9843,9954,10066,10172,10279,10279
2020-01-05,2,5,9,16,28,45,54,74,106,128,161,190,229,271,328,367,433,517,582,655,736,797,883,960,1038,1134,1217,1301,1396,1493,1594,1687,1787,1886,1987,2119,2233,2342,2469,2590,2708,2834,2966,3093,3226,3352,3472,3599,3715,3835,3962,4079,4228,4352,4481,4598,4735,4875,5020,5154,5308,5436,5560,5670,5818,5959,6068,6186,6334,6494,6653,6806,6927,7060,7217,7365,7502,7647,7806,7943,8079,8219,8373,8530,8673,8810,8946,9074,9222,9372,9519,9656,9786,9899,10028,10176,10324,10455,10587,10587
2020-01-06,4,8,18,32,51,67,77,89,102,120,141,165,194,223,250,287,326,368,408,445,484,527,586,642,704,771,837,907,991,1087,1156,1230,1300,1386,1492,1591,1666,1751,1825,1914,2009,2099,2186,2270,2402,2517,2609,2711,2821,2929,3038,3142,3235,3345,3451,3578,3677,3796,3915,4038,4158,4290,4391,4508,4635,4755,4882,5011,5147,5268,5395,5513,5614,5727,5852,5987,6099,6226,6363,6489,6600,6730,6847,6967,7102,7244,7375,7507,7639,7760,7883,7994,8126,8248,8365,8468,8593,8703,8817,8817
2020-01-07,0,1,5,12,17,23,33,47,65,84,99,122,153,173,204,237,269,299,347,389,435,477,514,563,623,678,733,794,876,941,1010,1082,1151,1219,1290,1371,1447,1529,1612,1687,1795,1882,1975,2075,2171,2292,2393,2490,2607,2719,2833,2940,3038,3158,3269,3393,3503,3620,3734,3855,3975,4075,4190,4293,4409,4511,4627,4743,4844,4970,5101,5214,5322,5431,5534,5653,5783,5896,6015,6120,6250,6367,6474,6596,6706,6805,6918,7042,7148,7243,7375,7478,7585,7708,7942,8071,8199,8297,8412,8412
2020-01-08,2,11,13,20,38,54,71,88,93,114,145,189,238,287,330,379,420,458,498,552,600,662,714,774,833,912,1000,1077,1161,1236,1308,1399,1475,1555,1647,1710,1794,1869,1951,2046,2136,2223,2326,2428,2509,2607,2713,2809,2923,3031,3138,3246,3354,3486,3601,3723,3849,3960,4068,4190,4289,4396,4527,4654,4772,4904,5012,5109,5230,5354,5465,5593,5724,5863,5989,6101,6218,6325,6428,6549,6655,6764,6871,6969,7079,7187,7314,7427,7530,7626,7715,7819,7939,8052,8140,8239,8336,8445,8556,8556
2020-01-09,8,30,49,76,101,140,178,218,270,309,375,421,479,547,615,678,769,864,968,1076,1189,1288,1399,1492,1614,1739,1870,2033,2173,2335,2469,2618,2761,2908,3040,3195,3339,3459,3613,3757,3913,4052,4202,4333,4466,4653,4825,5007,5190,5352,5512,5674,5825,5977,6110,6251,6391,6514,6646,6812,6951,7087,7211,7348,7486,7602,7754,7871,7999,8143,8271,8407,8526,8646,8759,8871,8973,9097,9216,9330,9445,9568,9682,9774,9894,9988,10091,10207,10334,10457,10582,10697,10808,10918,11029,11133,11250,11364,11487,11487
2020-01-10,1,8,14,34,42,59,79,95,116,143,165,187,232,281,314,367,422,467,519,566,605,669,736,795,871,958,1046,1116,1225,1326,1438,1511,1589,1679,1775,1882,1988,2117,2244,2363,2479,2599,2717,2836,2953,3082,3217,3332,3468,3597,3714,3846,3966,4079,4191,4325,4439,4575,4728,4876,5033,5174,5301,5450,5598,5737,5881,6030,6167,6303,6461,6610,6745,6883,7053,7172,7313,7439,7581,7731,7889,8038,8183,8321,8462,8630,8753,8885,9009,9145,9281,9414,9531,9653,9806,9943,10075,10218,10355,10355
