,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
2020-01-01,257,247,237,227,216,210,205,200,197,192,186,182,173,168,161,158,152,146,142,138,131,127,125,119,114,111,108,104,101,96,92,86,79,68,61,54,48,46,41,36,33,32,29,25,23,21,20,17,15,13,12,10,10,9,8,7,7,7,7,7,6,6,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-01-02,254,244,234,226,216,212,204,197,188,183,176,167,161,156,153,147,141,137,129,128,124,120,116,111,106,102,94,88,87,82,77,71,64,58,50,43,38,34,32,31,26,26,25,24,21,20,17,17,14,14,13,12,12,11,10,9,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3
2020-01-03,266,259,248,243,235,224,219,213,205,198,192,190,183,175,169,165,162,160,154,147,143,140,136,129,127,124,117,109,105,99,87,75,73,65,59,51,42,41,36,29,27,25,25,25,25,24,23,23,21,20,16,13,10,10,8,8,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
2020-01-04,257,248,243,239,229,219,214,206,198,187,180,171,162,155,150,144,138,132,126,123,115,111,105,94,89,87,82,77,76,71,66,60,57,53,47,42,37,36,32,30,27,27,27,26,23,23,22,21,20,20,20,19,19,17,16,15,15,15,13,13,12,11,11,11,10,7,7,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2020-01-05,280,274,261,256,246,232,223,212,207,201,196,189,183,173,166,163,152,144,137,132,126,119,116,110,108,102,97,90,85,80,75,68,62,56,47,42,38,33,30,25,23,19,18,16,15,14,14,14,13,12,12,12,12,11,11,11,8,8,7,7,5,5,5,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2020-01-06,271,265,255,245,240,232,226,219,213,208,204,195,188,183,179,174,170,165,165,159,157,150,138,133,123,121,116,112,102,94,86,84,76,70,64,59,54,48,42,39,34,34,31,24,23,21,20,19,19,17,16,15,14,14,12,10,10,10,8,7,7,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2020-01-07,271,266,259,254,245,236,230,222,218,213,207,198,186,181,173,167,161,157,148,140,135,131,121,114,107,103,98,95,92,86,76,71,64,61,56,52,47,41,39,37,35,35,29,26,26,26,25,21,18,18,14,13,12,11,10,8,7,7,7,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
2020-01-08,278,268,261,259,252,242,230,224,216,214,202,196,188,184,181,177,171,168,162,157,149,143,135,131,128,124,119,111,107,99,93,84,80,75,69,64,61,57,53,49,48,45,41,38,37,34,29,27,26,23,22,20,17,15,14,14,12,10,10,10,9,8,6,6,6,5,5,5,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-01-09,272,258,249,234,226,220,209,205,197,187,183,179,174,172,167,162,155,150,143,137,132,126,121,113,103,97,90,82,76,70,65,64,61,57,52,45,44,40,38,31,31,30,26,24,24,23,21,19,18,17,15,15,15,15,14,13,11,10,9,9,8,7,6,6,6,6,6,6,6,6,5,5,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
2020-01-10,290,281,270,263,251,245,234,229,224,219,211,201,198,192,184,178,169,163,152,146,143,132,129,124,117,111,102,96,90,84,80,74,68,59,57,53,48,42,41,39,34,31,27,21,18,16,12,11,11,11,10,8,8,8,7,5,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
