,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2020-01-01,2,14,36,49,73,95,123,150,171,211,249,278,321,353,384,442,501,554,602,670,725,780,839,893,945,982,1040,1101,1156,1216,1262,1320,1411,1463,1518,1582,1635,1699,1772,2010,2085,2157,2224,2295,2363,2432,2499,2563,2601,2689,2739,2979,3220,3295,3359,3418,3478,3530,3597,3672,3733,3788,3854,3918,4157,4214,4276,4327,4379,4439,4484,4534,4773,4811,4854,4903,4952,5000,5047,5297,5341,5385,5625,5671,5725,5779,5831,5871,5910,5959,6019,6051,6091,6157,6213,6252,6490,6542,6580,6580
2020-01-02,6,14,35,58,77,105,147,201,246,290,330,381,439,519,589,644,712,778,866,956,1024,1113,1374,1453,1540,1819,1932,2036,2126,2238,2338,2419,2512,2641,2742,2854,2957,3058,3153,3238,3332,3437,3524,3628,3894,3977,4073,4158,4238,4342,4448,4535,4614,4732,4817,4891,5152,5248,5346,5424,5508,5597,5672,5936,6017,6095,6360,6437,6514,6603,6684,6744,6817,6906,6978,7231,7306,7373,7458,7540,7616,7679,7743,7816,7876,7932,8179,8235,8467,8533,8594,8645,8695,8741,8786,8857,8922,8972,9023,9023
2020-01-03,4,18,37,46,67,95,121,147,178,211,240,282,334,377,429,493,548,595,647,704,760,831,906,981,1051,1129,1190,1254,1323,1395,1481,1737,1814,1887,1981,2078,2161,2226,2299,2385,2454,2526,2603,2673,2769,2861,3112,3192,3287,3364,3429,3519,3607,3677,3772,3863,3935,4019,4099,4166,4236,4306,4395,4475,4547,4625,4718,4816,4903,4996,5077,5158,5399,5496,5581,5648,5737,5830,5890,5972,6048,6113,6172,6242,6320,6392,6445,6690,6742,6814,6875,6944,7024,7100,7151,7215,7446,7519,7581,7581
2020-01-04,6,24,34,53,71,97,125,156,194,234,271,305,345,391,437,490,529,568,638,699,774,844,917,999,1062,1145,1224,1298,1373,1451,1717,1788,1847,1915,2179,2263,2360,2441,2526,2628,2759,3025,3309,3406,3716,3814,3920,4019,4132,4242,4346,4433,4519,4800,4902,4993,5092,5186,5271,5357,5622,5718,5808,5897,5979,6073,6177,6279,6382,6472,6553,6627,6712,6807,6891,6981,7055,7127,7198,7454,7530,7593,7666,7750,7822,7905,8158,8226,8299,8383,8449,8506,8577,8669,8739,8805,8860,8919,9157,9157
2020-01-05,8,33,59,77,121,166,197,228,275,317,381,443,502,569,648,735,802,877,964,1057,1140,1230,1323,1440,1526,1626,1730,1831,1963,2070,2156,2257,2348,2459,2540,2650,2740,2820,2912,3015,3104,3192,3276,3357,3462,3726,3825,3904,4002,4104,4181,4280,4352,4427,4500,4580,4831,4905,4990,5076,5172,5267,5357,5444,5536,5617,5865,5947,6193,6266,6338,6418,6682,6777,6864,6943,7018,7094,7181,7260,7338,7414,7486,7579,7819,7902,7965,8024,8087,8164,8238,8296,8368,8429,8495,8735,8975,9049,9115,9115
2020-01-06,8,25,47,66,90,110,142,171,208,244,283,305,334,372,405,456,495,538,594,629,677,731,788,1024,1096,1157,1224,1292,1354,1428,1495,1556,1781,1862,1923,1998,2052,2129,2215,2303,2371,2438,2520,2581,2652,2718,2790,2859,2934,3005,3079,3169,3259,3358,3448,3531,3634,3745,3854,4115,4202,4454,4552,4630,4873,4948,5194,5276,5360,5441,5525,5596,5665,5744,5816,5892,5955,6034,6122,6199,6277,6350,6429,6502,6581,6661,6740,6800,7031,7088,7145,7197,7257,7317,7391,7447,7511,7562,7614,7614
2020-01-07,2,13,32,47,67,90,125,149,179,207,242,285,336,380,429,487,538,601,657,729,789,846,900,972,1055,1126,1207,1274,1358,1431,1515,1578,1651,1709,1798,1903,2138,2212,2291,2371,2456,2540,2626,2725,2806,2899,3134,3225,3293,3547,3643,3725,3816,3903,4141,4212,4308,4533,4623,4718,4793,4890,4980,5068,5156,5238,5322,5410,5489,5558,5648,5736,5963,6049,6131,6227,6294,6522,6621,6711,6792,7020,7089,7151,7221,7289,7363,7432,7501,7569,7644,7712,7767,7833,7902,7975,8048,8107,8176,8176
2020-01-08,2,14,30,50,72,93,112,137,168,197,226,245,271,315,350,378,421,457,493,543,590,641,686,731,790,852,912,964,1032,1247,1305,1374,1445,1498,1563,1617,1682,1751,1825,1903,1981,2205,2268,2330,2537,2614,2693,2759,2823,2898,2965,3039,3263,3330,3395,3605,3678,3747,3807,3865,3937,4017,4083,4156,4215,4282,4354,4421,4514,4597,4832,4903,4989,5074,5163,5224,5296,5371,5447,5534,5599,5671,5893,5965,6052,6118,6332,6412,6467,6524,6583,6634,6703,6758,6829,6887,6949,7008,7065,7065
2020-01-09,13,27,46,69,89,126,157,207,262,309,365,414,466,520,569,627,683,736,801,867,930,995,1065,1151,1401,1492,1573,1640,1728,1817,1924,2013,2102,2209,2301,2379,2487,2581,2849,2952,3052,3158,3415,3516,3613,3710,3804,3888,3969,4067,4192,4306,4409,4528,4629,4892,4998,5103,5230,5328,5428,5549,5666,5794,5900,6014,6118,6207,6299,6400,6505,6597,6685,6769,6861,6960,7038,7129,7203,7306,7408,7507,7593,7678,7754,7829,7911,7993,8080,8156,8222,8299,8360,8434,8684,8759,8806,8874,8943,8943
2020-01-10,3,11,25,43,57,71,91,112,140,163,192,237,269,314,362,424,477,534,597,656,713,773,830,912,979,1055,1127,1208,1307,1398,1481,1552,1630,1726,1817,1894,1971,2073,2159,2238,2329,2435,2547,2634,2729,2835,3116,3226,3324,3442,3542,3780,3882,3992,4233,4487,4572,4662,4737,4832,4936,5028,5265,5519,5604,5693,5772,5849,5950,6191,6260,6330,6417,6485,6548,6636,6724,6799,6867,6937,7000,7080,7151,7240,7310,7389,7459,7541,7604,7664,7725,7783,7856,7917,7988,8038,8095,8161,8212,8212
