date,meanValue,medianValue,sumValue,stdValue,totaltx,price
2020-01-01,3.8790582052164613e+18,0.0,6.1791069774174e+23,1.622201823349217e+20,466526.0,129.21
2020-01-02,6.358749383191819e+18,0.0,1.1183068952724744e+24,2.855118952159545e+20,505639.0,130.75
2020-01-03,8.807640048611448e+18,0.0,1.8523523939036247e+24,3.439106604849323e+20,581641.0,127.19
2020-01-04,5.677222558647989e+18,0.0,1.132515064889273e+24,2.4146736338417526e+20,559074.0,134.30
2020-01-05,4.756495202485543e+18,0.0,9.006661490666366e+23,2.0607682877071334e+20,524664.0,134.32
2020-01-06,7.550273181711321e+18,0.0,1.6700675758822797e+24,4.100140218734711e+20,626525.0,135.59
2020-01-07,6.269755172467375e+18,0.0,1.4042809542636524e+24,2.61746739676233e+20,646478.0,144.09
2020-01-08,8.324699596688644e+18,0.0,1.941020256762214e+24,5.032000960984026e+20,653831.0,143.01
2020-01-09,5.803098728278557e+18,0.0,1.3407595363789298e+24,3.2477887684540334e+20,621399.0,140.80
2020-01-10,6.205185787885301e+18,0.0,1.3237274633863102e+24,2.4031680746073568e+20,605095.0,137.93
2020-01-11,6.898888235877703e+18,0.0,1.3544794240144992e+24,2.829051309140045e+20,549612.0,144.81
2020-01-12,5.579826418308875e+18,0.0,1.0059869049568652e+24,2.443784269187024e+20,523951.0,142.65
2020-01-13,6.796122517335407e+18,0.0,1.4353206872936546e+24,2.6481464856370872e+20,565389.0,146.50
2020-01-14,1.0617614902493354e+19,0.0,2.597822455808108e+24,4.8211822946814106e+20,671748.0,143.59
2020-01-15,8.314261740544283e+18,0.0,2.0981538357966486e+24,4.431971090978636e+20,698399.0,166.07
2020-01-16,6.483227517887827e+18,0.0,1.690501575289255e+24,5.069124009306274e+20,693649.0,166.44
2020-01-17,6.752425930182994e+18,0.0,1.5870159139448837e+24,3.027993648670238e+20,676556.0,164.39
2020-01-18,7.659432570712734e+18,0.0,1.7308785723295886e+24,7.718666151150506e+20,628211.0,170.18
2020-01-19,5.451603562691394e+18,0.0,1.1856420008318742e+24,2.6478880355075585e+20,615368.0,174.17
2020-01-20,4.923212571764741e+18,0.0,1.064369018740065e+24,2.0234177754253407e+20,599266.0,166.92
2020-01-21,4.623785408069924e+18,0.0,9.874463641765958e+23,1.6495743756085897e+20,558962.0,166.87
2020-01-22,4.707291977274159e+18,0.0,9.233729796781176e+23,2.1194143486210287e+20,513767.0,169.41
2020-01-23,5.18564953658618e+18,0.0,1.1231702044282366e+24,2.8127730845604253e+20,552533.0,168.15
2020-01-24,8.510933037267965e+18,0.0,1.5013200768409625e+24,5.169988882680701e+20,497135.0,162.80
2020-01-25,2.6635339265298493e+18,0.0,4.5280875811182796e+23,1.04469251079535e+20,435515.0,162.56
2020-01-26,4.029467966617085e+18,0.0,6.155455560483467e+23,1.8672864150420118e+20,428839.0,160.40
2020-01-27,5.84967852975039e+18,0.0,1.0821495802540778e+24,2.6696666267636135e+20,476541.0,167.91
2020-01-28,6.245354886816042e+18,0.0,1.1931063522224228e+24,2.1575073757964924e+20,526284.0,170.27
2020-01-29,6.358982448569436e+18,0.0,1.2673452019998484e+24,2.6813425625854696e+20,551529.0,175.78
2020-01-30,6.873328623035794e+18,0.0,1.3599224347107203e+24,2.7619281791973445e+20,566052.0,173.86
2020-01-31,9.362229437027109e+18,0.0,1.9184518828589683e+24,9.26362903706968e+20,583358.0,184.60
2020-02-01,5.666858014726059e+18,0.0,1.0961970143685428e+24,3.175154186664721e+20,545761.0,179.88
2020-02-02,5.840989517131793e+18,0.0,1.1048582131025295e+24,2.4085517118175694e+20,530094.0,183.58
2020-02-03,5.582736163820677e+18,0.0,1.321824441507822e+24,2.5470944664311507e+20,621191.0,188.48
2020-02-04,7.736481472671864e+18,0.0,1.572176818950444e+24,4.746206380699585e+20,524476.0,189.80
2020-02-05,6.766082751119435e+18,0.0,1.580529866330401e+24,2.8898968823001743e+20,610780.0,188.94
2020-02-06,9.900106905604219e+18,0.0,2.3175754261742394e+24,6.467499385672523e+20,606505.0,203.84
2020-02-07,9.92816641822844e+18,0.0,2.4107772260069492e+24,8.889986602993164e+20,626252.0,213.15
2020-02-08,5.056213513708629e+18,0.0,1.2941429050471334e+24,2.658623424848578e+20,661649.0,223.47
2020-02-09,5.079658815657415e+18,0.0,1.3139451865284245e+24,3.091644490055906e+20,628631.0,223.23
2020-02-10,7.303049467779696e+18,0.0,1.8262662773581351e+24,3.105487276243921e+20,668760.0,228.61
2020-02-11,5.346397137281317e+18,0.0,1.439164567001778e+24,2.7753061607126775e+20,709280.0,222.94
2020-02-12,8.665841845037472e+18,0.0,2.7687451353313947e+24,4.7877093815780816e+20,798162.0,236.75
2020-02-13,7.832754812528945e+18,0.0,2.3074512402228906e+24,3.752788003408223e+20,764763.0,265.59
2020-02-14,6.99713120472646e+18,0.0,1.9112453971772988e+24,3.486968965188191e+20,771827.0,268.71
2020-02-15,7.21842154217943e+18,0.0,1.8885700649233057e+24,5.4708099536988504e+20,699151.0,285.17
2020-02-16,6.87139153828313e+18,0.0,1.6828244019001041e+24,3.39785479944392e+20,661490.0,264.87
2020-02-17,1.0239960807983538e+19,0.0,2.672527371275812e+24,5.793664325886982e+20,695366.0,259.92
2020-02-18,8.234418096261032e+18,0.0,2.2618464315171693e+24,3.935911512693835e+20,733983.0,267.71
2020-02-19,6.951823835607205e+18,0.0,1.7773936555210866e+24,3.2627418538015326e+20,695837.0,282.33
2020-02-20,8.979503692104075e+18,0.0,2.270252000459759e+24,5.0066452250131235e+20,689600.0,259.07
2020-02-21,6.56875943640028e+18,0.0,1.7094211119315782e+24,4.263974482252339e+20,670542.0,257.32
2020-02-22,3.6730817305979003e+18,0.0,9.256459807647399e+23,3.049309602786148e+20,605859.0,265.14
2020-02-23,4.717341078704717e+18,1229784000000000.0,1.24499122280962e+24,3.097428646131645e+20,606290.0,261.65
2020-02-24,6.319830983696756e+18,0.0,1.707807926724271e+24,3.578227842944763e+20,687702.0,274.72
2020-02-25,7.647446443758497e+18,0.0,1.872186658789335e+24,3.709096493299809e+20,670257.0,265.63
2020-02-26,1.1216646830128822e+19,0.0,2.8514510905681044e+24,5.381051664933535e+20,704929.0,246.97
2020-02-27,1.0179646670183557e+19,0.0,2.6866632474285156e+24,4.7362821475679745e+20,714482.0,224.30
2020-02-28,7.073932325152217e+18,0.0,1.8065903547237076e+24,3.12314627457957e+20,688694.0,227.60
2020-02-29,4.997360031046568e+18,0.0,1.1520613973972352e+24,5.839771453588153e+20,620465.0,226.94
2020-03-01,7.346136283427256e+18,0.0,1.658588611663287e+24,5.4011281361604156e+20,628500.0,217.51
2020-03-02,9.631760398884323e+18,0.0,2.5262277491797306e+24,5.318262778709314e+20,681477.0,217.96
2020-03-03,7.551556003241673e+18,0.0,1.7621253871323097e+24,3.8078264320867605e+20,661419.0,231.90
